Lidar NIS, Time 
0,0
0,0
0,0
0.647536,33333
1.4696,33333
0.111369,33333
3.41876,66666
2.68326,66666
4.15461,66666
3.04021,100000
3.53263,100000
3.39777,100000
3.54853,133333
4.7272,133333
4.44796,133333
1.65784,166666
1.37833,166666
1.37477,166666
2.30479,200000
1.02485,200000
0.992691,200000
0.981034,233333
0.511875,233333
0.575804,233333
3.5746,266666
1.5127,266666
2.89575,266666
3.02622,300000
4.01697,300000
2.39818,300000
2.06582,333333
1.66581,333333
1.03962,333333
0.195903,366666
0.468997,366666
0.392138,366666
1.33292,400000
0.38195,400000
0.860825,400000
0.334965,433333
0.108156,433333
0.330183,433333
0.18807,466666
0.171734,466666
0.0473537,466666
4.35541,500000
3.89446,500000
3.94196,500000
3.39395,533333
3.2613,533333
3.29581,533333
1.07783,566666
0.712391,566666
0.824797,566666
2.11277,600000
1.82499,600000
2.49633,600000
1.31143,633333
1.76673,633333
1.62731,633333
1.14147,666666
1.24584,666666
0.681371,666666
0.790797,700000
0.347321,700000
1.04553,700000
1.56296,733333
0.831426,733333
2.04022,733333
4.53602,766666
5.57195,766666
4.28577,766666
0.258726,800000
0.289159,800000
0.312715,800000
2.81913,833333
2.14889,833333
3.60405,833333
0.231969,866666
0.133867,866666
0.727699,866666
0.885521,900000
0.788602,900000
0.124114,900000
3.7941,933333
3.8233,933333
2.53954,933333
0.497939,966666
0.474339,966666
0.599318,966666
3.87629,1000000
3.68911,1000000
2.32698,1000000
1.41783,1033333
1.29046,1033333
0.585179,1033333
2.187,1066666
2.58289,1066666
4.62553,1066666
0.878719,1100000
0.591352,1100000
0.116439,1100000
1.23292,1133333
0.58383,1133333
1.75043,1133333
0.621636,1166666
1.58128,1166666
1.92563,1166666
1.43114,1200000
3.26735,1200000
2.68147,1200000
2.49164,1233333
4.201,1233333
5.5527,1233333
0.815631,1266666
0.496138,1266666
2.81119,1266666
1.27829,1300000
0.23738,1300000
2.95523,1300000
0.755467,1333333
1.4813,1333333
0.109854,1333333
3.95066,1366666
1.60769,1366666
6.44129,1366666
0.0661318,1400000
0.319332,1400000
0.698841,1400000
6.8345,1433333
3.5293,1433333
10.3227,1433333
2.22477,1466666
4.72842,1466666
1.84747,1466666
1.27386,1500000
1.53334,1500000
0.0890241,1500000
3.02785,1533333
5.38738,1533333
1.22221,1533333
0.524739,1566666
2.01497,1566666
1.07648,1566666
7.97273,1600000
8.42505,1600000
18.0383,1600000
1.74984,1633333
0.15932,1633333
4.69851,1633333
0.101647,1666666
0.563792,1666666
3.04948,1666666
3.88813,1700000
1.57441,1700000
5.23474,1700000
0.00103154,1733333
0.328959,1733333
2.19661,1733333
0.696931,1766666
